THE SEED IS: 7

OVERALL JOB STATS -
JobId=0 ArrivalTime=40.0 StartTime=40.0 EndTime=42.000000000000014 NumIters=10
IterStartTime=40.0 IterEndTime=40.2 LossValue=0.392837895627038
JobId=7 ArrivalTime=48.0 StartTime=48.0 EndTime=48.81818181818184 NumIters=9
IterStartTime=48.0 IterEndTime=48.09090909090909 LossValue=0.3529072317668036
IterStartTime=48.09090909090909 IterEndTime=48.18181818181819 LossValue=0.12453096036954818
IterStartTime=48.18181818181819 IterEndTime=48.27272727272728 LossValue=0.043930892036660826
IterStartTime=48.27272727272728 IterEndTime=48.363636363636374 LossValue=0.015484981366870541
IterStartTime=48.363636363636374 IterEndTime=48.45454545454547 LossValue=0.005445661915034267
IterStartTime=48.45454545454547 IterEndTime=48.54545454545456 LossValue=0.0019025187115700355
IterStartTime=48.54545454545456 IterEndTime=48.636363636363654 LossValue=6.520491134581261E-4
IterStartTime=48.636363636363654 IterEndTime=48.72727272727275 LossValue=2.1072508955942722E-4
IterStartTime=48.72727272727275 IterEndTime=48.81818181818184 LossValue=5.497008810699782E-5
JobId=8 ArrivalTime=51.0 StartTime=51.0 EndTime=52.400000000000006 NumIters=7
IterStartTime=51.0 IterEndTime=51.2 LossValue=0.25654557205168205
IterStartTime=51.2 IterEndTime=51.400000000000006 LossValue=0.06581494793430198
IterStartTime=51.400000000000006 IterEndTime=51.60000000000001 LossValue=0.01688367574241156
IterStartTime=51.60000000000001 IterEndTime=51.80000000000001 LossValue=0.0043305296003249135
IterStartTime=51.80000000000001 IterEndTime=52.000000000000014 LossValue=0.0011100640165442913
IterStartTime=52.0 IterEndTime=52.2 LossValue=2.838648741999268E-4
IterStartTime=52.2 IterEndTime=52.400000000000006 LossValue=7.190638402124E-5
JobId=9 ArrivalTime=42.0 StartTime=42.0 EndTime=42.227272727272734 NumIters=10
IterStartTime=42.0 IterEndTime=42.02272727272727 LossValue=0.6926096658852349
IterStartTime=42.02272727272727 IterEndTime=42.04545454545455 LossValue=0.476982190204945
IterStartTime=42.04545454545455 IterEndTime=42.06818181818182 LossValue=0.3257243167192585
IterStartTime=42.06818181818182 IterEndTime=42.09090909090909 LossValue=0.2196202860560491
IterStartTime=42.09090909090909 IterEndTime=42.11363636363637 LossValue=0.14519067083311243
IterStartTime=42.11363636363637 IterEndTime=42.13636363636364 LossValue=0.09297995284617293
IterStartTime=42.13636363636364 IterEndTime=42.159090909090914 LossValue=0.05635529659144488
IterStartTime=42.159090909090914 IterEndTime=42.18181818181819 LossValue=0.030663915635670013
IterStartTime=42.18181818181819 IterEndTime=42.20454545454546 LossValue=0.012641983884992002
IterStartTime=42.20454545454546 IterEndTime=42.227272727272734 LossValue=0.0
JobId=10 ArrivalTime=45.0 StartTime=45.0 EndTime=47.000000000000014 NumIters=10
IterStartTime=45.0 IterEndTime=45.2 LossValue=0.6024653536111251
IterStartTime=45.2 IterEndTime=45.400000000000006 LossValue=0.33047000296460466
IterStartTime=45.400000000000006 IterEndTime=45.60000000000001 LossValue=0.1895537812918679
IterStartTime=45.60000000000001 IterEndTime=45.80000000000001 LossValue=0.11430503822877808
IterStartTime=45.80000000000001 IterEndTime=46.000000000000014 LossValue=0.07092008942212316
IterStartTime=46.0 IterEndTime=46.2 LossValue=0.0440529220736566
IterStartTime=46.2 IterEndTime=46.400000000000006 LossValue=0.026403343965540203
IterStartTime=46.400000000000006 IterEndTime=46.60000000000001 LossValue=0.014241947111620714
IterStartTime=46.60000000000001 IterEndTime=46.80000000000001 LossValue=0.005530512269006808
IterStartTime=46.80000000000001 IterEndTime=47.000000000000014 LossValue=-9.120560452171508E-4
JobId=11 ArrivalTime=54.0 StartTime=54.0 EndTime=54.58823529411768 NumIters=10
IterStartTime=54.0 IterEndTime=54.05882352941177 LossValue=0.4753774530176652
IterStartTime=54.05882352941177 IterEndTime=54.117647058823536 LossValue=0.22582044694927858
IterStartTime=54.117647058823536 IterEndTime=54.176470588235304 LossValue=0.10710900453025145
IterStartTime=54.176470588235304 IterEndTime=54.23529411764707 LossValue=0.05063931536694976
IterStartTime=54.23529411764707 IterEndTime=54.29411764705884 LossValue=0.023777323555376866
IterStartTime=54.29411764705884 IterEndTime=54.35294117647061 LossValue=0.010999378169519528
IterStartTime=54.35294117647061 IterEndTime=54.411764705882376 LossValue=0.00492105421538858
IterStartTime=54.411764705882376 IterEndTime=54.470588235294144 LossValue=0.002029664326349453
IterStartTime=54.470588235294144 IterEndTime=54.52941176470591 LossValue=6.542628910975555E-4
IterStartTime=54.52941176470591 IterEndTime=54.58823529411768 LossValue=0.0
JobId=12 ArrivalTime=57.0 StartTime=57.000000000000014 EndTime=57.90909090909095 NumIters=10
IterStartTime=57.000000000000014 IterEndTime=57.09090909090911 LossValue=0.3755628932772838
IterStartTime=57.09090909090911 IterEndTime=57.1818181818182 LossValue=0.15453563338559118
IterStartTime=57.1818181818182 IterEndTime=57.272727272727295 LossValue=0.0774165411693005
IterStartTime=57.272727272727295 IterEndTime=57.36363636363639 LossValue=0.043549126355863464
IterStartTime=57.36363636363639 IterEndTime=57.45454545454548 LossValue=0.02600160056075184
IterStartTime=57.45454545454548 IterEndTime=57.545454545454575 LossValue=0.015814313042838257
IterStartTime=57.545454545454575 IterEndTime=57.63636363636367 LossValue=0.00939853256314826
IterStartTime=57.63636363636367 IterEndTime=57.72727272727276 LossValue=0.005105240803916552
IterStartTime=57.72727272727276 IterEndTime=57.818181818181856 LossValue=0.002094564126467205
IterStartTime=57.818181818181856 IterEndTime=57.90909090909095 LossValue=-9.660363645879085E-5
JobId=13 ArrivalTime=55.0 StartTime=55.0 EndTime=55.21590271254877 NumIters=10
IterStartTime=55.0 IterEndTime=55.02127659574468 LossValue=0.5159869027090982
IterStartTime=55.02127659574468 IterEndTime=55.04255319148936 LossValue=0.23323622879561823
IterStartTime=55.04255319148936 IterEndTime=55.06477541371159 LossValue=0.11964079959340643
IterStartTime=55.06477541371159 IterEndTime=55.08699763593381 LossValue=0.06771346016309134
IterStartTime=55.08699763593381 IterEndTime=55.10921985815604 LossValue=0.04045990778235317
IterStartTime=55.10921985815604 IterEndTime=55.13194713088331 LossValue=0.024574347753208867
IterStartTime=55.13194713088331 IterEndTime=55.1552029448368 LossValue=0.014563003706243466
IterStartTime=55.1552029448368 IterEndTime=55.17901246864633 LossValue=0.007867859382224866
IterStartTime=55.17901246864633 IterEndTime=55.203402712548765 LossValue=0.0031782696571330243
IterStartTime=55.203402712548765 IterEndTime=55.21590271254877 LossValue=-2.3029459456096364E-4
JobId=14 ArrivalTime=53.0 StartTime=53.0 EndTime=53.5263157894737 NumIters=10
IterStartTime=53.0 IterEndTime=53.05263157894737 LossValue=0.515965233560233
IterStartTime=53.05263157894737 IterEndTime=53.10526315789474 LossValue=0.24908643879723932
IterStartTime=53.10526315789474 IterEndTime=53.15789473684211 LossValue=0.1333507984410693
IterStartTime=53.15789473684211 IterEndTime=53.21052631578948 LossValue=0.07743154116738643
IterStartTime=53.21052631578948 IterEndTime=53.26315789473685 LossValue=0.04701261076104942
