THE SEED IS: 7

OVERALL JOB STATS -
JobId=0 ArrivalTime=40.0 StartTime=40.0 EndTime=40.12500000000003 NumIters=10
IterStartTime=40.0 IterEndTime=40.0125 LossValue=0.392837895627038
IterStartTime=45.34999999999998 IterEndTime=45.39999999999998 LossValue=0.060629191789972045
IterStartTime=45.39999999999998 IterEndTime=45.449999999999974 LossValue=0.026658687326763783
IterStartTime=45.449999999999974 IterEndTime=45.49999999999997 LossValue=1.3877787807814457E-17
JobId=7 ArrivalTime=48.0 StartTime=48.0 EndTime=48.249999999999986 NumIters=10
IterStartTime=48.0 IterEndTime=48.025 LossValue=0.5868929869569521
IterStartTime=48.025 IterEndTime=48.05 LossValue=0.3435862601297285
IterStartTime=48.05 IterEndTime=48.074999999999996 LossValue=0.20028643357072382
IterStartTime=48.074999999999996 IterEndTime=48.099999999999994 LossValue=0.11588745060950482
IterStartTime=48.099999999999994 IterEndTime=48.12499999999999 LossValue=0.0661791676622459
IterStartTime=48.12499999999999 IterEndTime=48.14999999999999 LossValue=0.036902589830731865
IterStartTime=48.14999999999999 IterEndTime=48.17499999999999 LossValue=0.019659628322000806
IterStartTime=48.17499999999999 IterEndTime=48.19999999999999 LossValue=0.009504079292238912
IterStartTime=48.19999999999999 IterEndTime=48.22499999999999 LossValue=0.0035227879668668334
IterStartTime=48.22499999999999 IterEndTime=48.249999999999986 LossValue=1.734723475976807E-18
JobId=8 ArrivalTime=51.0 StartTime=51.0 EndTime=51.475498575498555 NumIters=10
IterStartTime=51.0 IterEndTime=51.05 LossValue=0.4726791781760131
IterStartTime=51.05 IterEndTime=51.099999999999994 LossValue=0.2232698196008947
IterStartTime=51.099999999999994 IterEndTime=51.14999999999999 LossValue=0.10530552619467821
IterStartTime=51.14999999999999 IterEndTime=51.19999999999999 LossValue=0.04951141085623245
IterStartTime=51.19999999999999 IterEndTime=51.249999999999986 LossValue=0.02312221106947952
IterStartTime=51.249999999999986 IterEndTime=51.29999999999998 LossValue=0.010640789665790679
IterStartTime=51.29999999999998 IterEndTime=51.34999999999998 LossValue=0.004737394279975889
IterStartTime=51.34999999999998 IterEndTime=51.39999999999998 LossValue=0.001945238166173053
IterStartTime=51.39999999999998 IterEndTime=51.437037037037015 LossValue=6.246192249820547E-4
IterStartTime=51.437037037037015 IterEndTime=51.475498575498555 LossValue=-1.0842021724855044E-19
JobId=9 ArrivalTime=42.0 StartTime=42.0 EndTime=42.08750000000002 NumIters=7
IterStartTime=42.0 IterEndTime=42.0125 LossValue=0.254420917303933
IterStartTime=42.0125 IterEndTime=42.025000000000006 LossValue=0.06472937143390764
IterStartTime=42.025000000000006 IterEndTime=42.03750000000001 LossValue=0.016467713603536018
IterStartTime=42.03750000000001 IterEndTime=42.05000000000001 LossValue=0.004188897455705124
IterStartTime=42.05000000000001 IterEndTime=42.062500000000014 LossValue=0.0010648993841479595
IterStartTime=42.062500000000014 IterEndTime=42.07500000000002 LossValue=2.7008628216850655E-4
IterStartTime=42.07500000000002 IterEndTime=42.08750000000002 LossValue=6.786853023394323E-5
JobId=10 ArrivalTime=45.0 StartTime=45.0 EndTime=45.49999999999997 NumIters=10
IterStartTime=45.0 IterEndTime=45.05 LossValue=0.44728105902480986
IterStartTime=45.05 IterEndTime=45.099999999999994 LossValue=0.22512146887266093
IterStartTime=45.099999999999994 IterEndTime=45.14999999999999 LossValue=0.12673585215040306
IterStartTime=45.14999999999999 IterEndTime=45.19999999999999 LossValue=0.07644356956486
IterStartTime=45.19999999999999 IterEndTime=45.249999999999986 LossValue=0.0477007412104236
IterStartTime=45.249999999999986 IterEndTime=45.29999999999998 LossValue=0.029852532858075615
IterStartTime=45.29999999999998 IterEndTime=45.34999999999998 LossValue=0.018051571444019653
IterStartTime=45.34999999999998 IterEndTime=45.39999999999998 LossValue=0.009859554050514623
IterStartTime=45.39999999999998 IterEndTime=45.449999999999974 LossValue=0.003948291001741249
IterStartTime=45.449999999999974 IterEndTime=45.49999999999997 LossValue=-4.5347056350092743E-4
JobId=11 ArrivalTime=54.0 StartTime=54.0 EndTime=54.08750000000002 NumIters=7
IterStartTime=54.0 IterEndTime=54.0125 LossValue=0.21994770828479096
IterStartTime=54.0125 IterEndTime=54.025000000000006 LossValue=0.04837683314970401
